Target;Item;Condition;Sentence;Target_long;Completion;Part;Cloze;Cloze_Balanced;Association_Noun;Association_Verb;Association_MainVerb;Stimulus_tf;Prime;secretgpt2_surp;leo13b_surp;secretgpt2_bpe_split;leo13b_bpe_split
Axt;1;A;Gestern schärfte der Holzfäller, bevor er das Holz stapelte,;die Axt;und hackte die Holzscheite.;0;0.75;1;6.9;3.1;6.0;Gestern schärfte der Holzfäller , bevor er das Holz stapelte , die Axt;Holz;8.747118674218655;1.4483768492937088;1;1
Axt;1;B;Gestern schärfte der Holzfäller, bevor er den Film schaute,;die Axt;und hackte die Holzscheite.;0;0.67;1;3.1;1.2;6.0;Gestern schärfte der Holzfäller , bevor er den Film schaute , die Axt;Film;9.820873647928238;1.2445566290989518;1;1
Axt;1;C;Gestern aß der Holzfäller, bevor er das Holz stapelte,;die Axt;und hackte die Holzscheite.;0;0.0;1;6.9;3.1;1.4;Gestern aß der Holzfäller , bevor er das Holz stapelte , die Axt;Holz;9.8151852786541;10.721609234809875;1;1
Axt;1;D;Gestern aß der Holzfäller, bevor er den Film schaute,;die Axt;und hackte die Holzscheite.;0;0.0;1;3.1;1.2;1.4;Gestern aß der Holzfäller , bevor er den Film schaute , die Axt;Film;11.552166223526;12.075013875961304;1;1
Messer;2;A;Nachdenklich schärft der Barbier, nachdem er den Rasierschaum aufgetragen hat,;das Messer;und rasiert den Kunden.;0;0.67;1;5.0;5.1;6.4;Nachdenklich schärft der Barbier , nachdem er den Rasierschaum aufgetragen hat , das Messer;Rasierschaum;5.100546360015869;1.021432813955471;0;1
Messer;2;B;Nachdenklich schärft der Barbier, nachdem er die Topfpflanze gegossen hat,;das Messer;und rasiert den Kunden.;0;0.75;1;1.2;1.4;6.4;Nachdenklich schärft der Barbier , nachdem er die Topfpflanze gegossen hat , das Messer;Topfpflanze;5.658355236053467;1.8499301972333342;0;1
Messer;2;C;Nachdenklich trinkt der Barbier, nachdem er den Rasierschaum aufgetragen hat,;das Messer;und rasiert den Kunden.;0;0.0;1;5.0;5.1;1.4;Nachdenklich trinkt der Barbier , nachdem er den Rasierschaum aufgetragen hat , das Messer;Rasierschaum;8.012819290161133;6.352693345397711;0;1
Messer;2;D;Nachdenklich trinkt der Barbier, nachdem er die Topfpflanze gegossen hat,;das Messer;und rasiert den Kunden.;0;0.0;1;1.2;1.4;1.4;Nachdenklich trinkt der Barbier , nachdem er die Topfpflanze gegossen hat , das Messer;Topfpflanze;8.153631210327148;11.25179684907198;0;1
Kaffee;3;A;Sogleich süßt der Kellner, nachdem er die Bestellung aufgenommen hat,;den Kaffee;und gießt die Milch dazu.;0;0.58;0;5.8;2.3;5.8;Sogleich süßt der Kellner , nachdem er die Bestellung aufgenommen hat , den Kaffee;Bestellung;3.553799629211426;3.4533743672072887;0;1
Kaffee;3;B;Sogleich süßt der Kellner, nachdem er das Radio angemacht hat,;den Kaffee;und gießt die Milch dazu.;0;0.25;0;3.5;3.5;5.8;Sogleich süßt der Kellner , nachdem er das Radio angemacht hat , den Kaffee;Radio;3.2791762351989746;2.091243164613843;0;1
